KAISHA_CODE,TOSAN_FLG,URIAGE,JUGYOIN_SU,SHIHON_KIN,SOU_SHIHON,JIKO_SHIHON,SO_SHIHON_KEIJO_RIEKI_RITU,SO_SHIHON_KIGYO_SHUEKI_RITU,SO_SHIHON_ZEIBIKIMAE_RIEKI_RITU,URIAGE_EIGYO_HIYO_RITU,URIAGE_GENKA_RITU,URIAGE_HANKANHI_RITU,URIAGE_EIGYO_GAI_SHUEKI_RITU,URIAGE_EIGYO_GAI_HIYO_RITU,URIAGE_KEIJO_RIEKI_RITU,URIAGE_ZEIBIKIMAE_RIEKI_RITU,URIAGE_TOKI_RIEKI_RITU,URIAGE_KINYU_SHUSHI_RITU,URIAGE_KINRI_FUTAN_RITU,SHIHON_KIN_BAI_RITU,SO_SHIHON_KAITEN_KIKAN,KOTEI_SHISAN_KAITEN_KIKAN,YUKEI_KOTEI_SHISAN_KAITEN_KIKAN,URIKAKE_KAITEN_KIKAN,TANAOROSHI_KAITEN_KIKAN,SHOHIN_KAITEN_KIKAN,KAIIRE_SAIMU_KAITEN_KIKAN,SHIHARAI_TEGATA_KAITEN_KIKAN,KAIKAKE_KAITEN_KIKAN,GEN_YOKIN_TEMOCHI_NISSU
C11783,0,278739,10,10000,228,29,-0.21,1.66,-2.89,98.97,83.92,15.05,0.06,1.23,-0.14,-1.9,-1.92,-1.21,1.23,2.94,7.88,3.97,3.88,0.77,1.29,0,0.74,0,0.74,42.72
C11784,0,228828,9,10000,92,25,17.27,18.3,17.38,94.09,57.63,36.46,0.06,0.38,5.59,5.63,3.77,-0.33,0.33,2.52,3.89,0.79,0.39,1.28,0.65,0.1,1.17,0.14,1.03,23.12
C11785,0,139760,3,10000,237,137,5.63,5.9,5.84,92.05,57.64,34.42,0.06,0.37,7.64,7.93,5.97,-0.36,0.37,13.72,16.28,8.44,6.26,2.6,0.45,0.45,1.66,0,1.66,89.57
C11786,0,119005,10,10000,68,1,1.63,3.68,1.63,97.03,62.29,34.74,0.06,2.28,0.75,0.75,0.7,-0.95,0.95,0.14,5.54,3.01,0.63,0.86,0.03,0.03,0,0,0,10.27
C11797,0,56924,5,10000,15,-3,29.25,30.54,30.9,93.28,64.41,28.87,0.06,0.29,6.49,6.85,6.76,-0.28,0.29,-0.4,2.66,0.25,0.08,0.91,0.32,0.03,1.21,0,1.21,1.56
C11814,0,220121,14,10000,369,143,-10.7,-10.16,-10.8,113.62,106.63,6.99,0.06,0.78,-14.35,-14.49,-14.49,-0.71,0.72,14.38,16.1,3.68,3.4,5.89,3.5,0,1.03,0,1.03,61.04
C11838,0,298431,12,12000,146,30,1.62,2.61,0.6,98.97,67.3,31.67,0.06,0.46,0.64,0.24,0.13,-0.36,0.39,2.56,4.7,0.43,0.26,1.07,1.56,1.56,0.97,0,0.97,30.12
C11849,0,800125,16,9950,882,624,37.78,39.59,40.79,76.1,40.16,18.55,0.05,0.73,27.35,33.01,21.46,-0.3,0.3,62.72,10.59,1.91,0.16,0.64,0.56,0.56,0.08,0,0.08,196.66
C11857,0,96923,12,18000,20,10,-27.76,-27.76,-27.76,104.72,83.29,21.43,0.05,0,-4.67,-4.67,-4.82,0,0,0.56,2.02,0.62,0.56,0.76,0,0,0,0,0,19.62
C11863,0,46979,4,10000,79,-5,-3.64,-0.28,-3.64,100.44,37.06,63.38,0.05,4.56,-4.95,-4.95,-4.95,-4.56,4.56,-0.53,16.3,11.98,11.71,0.76,2.19,2.19,1.77,1.27,0.5,25.82
C11870,0,402596,35,40000,805,286,4.25,5,4.25,92.05,87.51,4.53,0.05,1.2,6.8,6.8,4.56,-1.2,1.2,7.16,19.21,15.52,15.49,1.16,1.66,0,0.81,0,0.81,15.33
C11905,0,3107460,20,50000,1481,394,37.78,39.59,41.58,84.14,80.57,3.57,0.05,0.06,15.86,15.86,8.88,-0.06,0.06,7.9,4.58,0.03,0.02,0.07,3.96,0,0,0,0,12.66
C11912,0,2865,0,10000,42,5,1.33,1.33,1.33,84.07,30.29,53.78,0.05,0,15.98,15.98,14.03,0.04,0,0.59,74.75,0.25,0.25,0,0,0,0,0,0,645.17
C11916,0,40793,1,10000,144,-130,-8.96,-4.6,-26.76,113.01,93.51,19.5,0.05,12.39,-25.35,-75.73,-76.04,-8.88,9.25,-13.07,33.96,0.32,0.1,1.7,14.84,9.7,0.33,0,0.33,209.54
C11922,0,165531,8,10000,168,15,-0.01,3.34,0.17,97.33,75.99,21.34,0.05,2.72,0,0.14,0.06,-2.72,2.72,1.56,9.77,0.73,0.36,4.05,3.66,0,2.16,0,2.16,19.95
C11931,0,3456340,107,350000,2651,809,14.53,14.61,14.52,91.06,84.24,6.82,0.04,0.06,8.92,8.91,5.7,-0.04,0.05,2.31,7.36,0.41,0.28,3.45,2.51,0,1.12,0,1.12,21.03
C11932,0,119796,5,3000,29,0,22.97,22.97,23.03,95.56,84.05,11.51,0.04,0,4.48,4.49,3.32,0,0,-0.02,2.34,0.84,0.44,0.34,0,0,0.11,0.11,0,25.02
C11936,0,102502,9,3000,86,31,27.85,28.64,27.85,80.6,26.05,54.55,0.04,0.54,18.9,18.9,14.14,-0.5,0.54,10.64,8.15,2.53,2.18,1.01,0.54,0.54,1.38,0,1.38,103.02
C11939,0,38744,0,3000,13,-31,37.78,39.59,41.96,82.09,54.28,27.81,0.04,0.78,17.17,17.17,17.17,-0.78,0.78,-10.44,3.38,1.68,1.49,1.12,0,0,1.61,0,1.61,11.37
C11940,0,3358306,87,200000,3070,1889,2.98,3.42,2.97,97.54,86.58,10.96,0.04,0.32,2.18,2.18,1.31,-0.32,0.32,9.45,8.78,1.92,1.35,1.49,0.78,0.56,2.13,1.27,0.85,97.13
C11947,0,106974,3,3000,39,7,0.61,2.59,0.61,99.27,55.92,43.35,0.04,0.59,0.18,0.18,0.1,-0.58,0.59,2.52,3.57,0.57,0.15,2.03,0.41,0,0.53,0,0.53,14.6
C11950,0,680283,34,35000,831,621,15.56,15.57,15.54,84.82,45.9,38.93,0.04,0,15.22,15.19,8.65,0.01,0,17.75,11.73,1.96,1.55,1.01,1.25,0,1,0.72,0.28,206.71
C11964,0,233388,25,12500,197,54,-14.07,-13.27,-14.08,109.03,83.5,25.53,0.04,0.54,-9.54,-9.55,-9.67,-0.54,0.54,4.33,8.14,2.64,0.36,2.13,2.66,0.18,0.72,0,0.72,16.12
C11971,0,137044,5,20000,93,77,11.2,11.92,11.2,91.96,59.61,32.36,0.04,1.96,6.11,6.11,4.7,-0.35,0.39,3.85,6.55,2.41,0.34,1.06,1.67,0,0.21,0,0.21,36.05
C12008,0,344833,38,10000,240,91,14.67,15.24,14.79,91.52,23.56,67.96,0.04,0.32,8.2,8.27,4.96,-0.32,0.32,9.14,6.71,0.28,0.21,2.14,0.34,0,0.8,0.64,0.16,117.77
C12017,0,344179,8,9000,325,-52,13.41,14.09,13.41,89.36,77.16,12.2,0.04,0.53,10.15,10.15,10.13,-0.52,0.52,-5.85,9.09,0.06,0.02,6.91,0.01,0.01,6.37,0,4.83,63.55
C12026,0,112776,6,10000,181,-103,0.44,2.97,0.44,96.19,86.61,9.58,0.04,3.28,0.57,0.57,0.51,-3.27,3.27,-10.31,15.47,10.12,9.67,1.48,2.31,0.39,1.85,1.16,0.69,31.35
C12033,0,195696,12,12000,72,24,3.27,3.47,18.88,98.96,80.09,18.87,0.04,0.1,0.97,5.61,5.54,-0.06,0.06,2.03,3.57,1.82,1.76,0.34,0.1,0.1,0.12,0,0.12,38.34
C12035,0,71517,3,7000,22,7,0.58,2.29,0.58,99.47,53.73,45.74,0.04,0.42,0.14,0.14,0.03,-0.39,0.42,1.08,2.97,1.24,0.31,0,1.43,0,0,0,0,2.81
C12038,0,6403656,296,80000,6564,3334,10.57,10.57,10.57,91.34,81.68,9.66,0.03,0.02,8.67,8.67,5.36,0.03,0,41.68,9.84,0.79,0.48,3.21,0.67,0.67,0.6,0.07,0.53,0.98
C12046,0,814772,20,20000,486,172,-1.58,-1.12,-1.58,100.56,82.68,17.88,0.03,0.22,-0.75,-0.75,-0.73,-0.21,0.22,8.64,5.73,0.24,0.04,1.89,0.55,0.54,1.49,0.77,0.73,28.4
C12050,0,100576,9,20000,78,64,-0.34,0.36,0.36,99.81,69.73,30.07,0.03,0.44,-0.21,0.23,0.23,-0.42,0.44,3.21,7.48,2.23,0.23,1.38,3.11,0.06,0.38,0.22,0.16,8.93
C12051,0,446153,18,6000,303,-10,-15.02,-13.71,-15.02,107.51,95.71,11.79,0.03,0.71,-8.19,-8.19,-8.21,-0.71,0.71,-1.71,6.54,2.51,2.41,1.07,0.11,0,1.74,1.3,0.44,18.28
C12076,0,315175,8,10000,120,35,9.61,10.8,9.89,96.72,74.24,22.48,0.03,0.37,2.94,3.02,2.02,-0.36,0.37,3.54,3.67,1.34,0.07,1.25,0.27,0,0.57,0,0.57,23.21
C12077,0,53693,3,3000,19,6,23.18,23.29,23.18,93.26,62.05,31.21,0.03,0.15,6.62,6.62,4.89,-0.03,0.03,2.22,3.43,0.32,0.22,2.44,0.27,0,1.25,0,1.25,10.25
C12079,0,2095310,15,60000,299,70,21.91,23.79,21.91,97.17,91.45,5.73,0.03,0.35,2.51,2.51,2.29,-0.21,0.21,1.17,1.94,0.07,0.03,0.2,0.86,0.84,0,0,0,2.93
C12086,0,76580,1,10000,61,10,0.17,0.62,0.23,99.49,50.32,49.17,0.03,0.43,0.11,0.15,0.04,-0.29,0.29,1.06,7.74,2.55,2.55,1.51,0.57,0.57,0.53,0,0.53,57.67
C12088,0,2612834,171,1105798,1274,88,-34.38,-33.18,-22.05,110.31,77.74,32.57,0.03,3.13,-13.42,-8.61,-8.74,-0.46,0.47,0.09,4.68,1.01,0.26,1.61,0.89,0.5,1.92,0,1.92,27.4
C12094,0,996188,56,80000,580,-467,-11.58,-8,-23.26,103.75,97.91,5.85,0.03,1.67,-5.4,-10.84,-10.87,-1.67,1.67,-13.29,5.59,2.89,0.13,1.01,1.62,0,1.35,1,0.35,0.83
C12117,0,752887,38,10000,450,231,9.89,10.51,9.96,94.97,86.4,8.57,0.03,0.32,4.74,4.77,4.68,-0.29,0.3,23.13,5.75,0.87,0.04,1.02,0.78,0.78,1.43,0.96,0.47,93.14
C12130,0,44976,0,2000,17,0,8.2,9.55,8.2,97.11,52,45.11,0.02,0.41,2.49,2.49,2.36,-0.39,0.41,0.23,3.64,1.2,0.44,1.18,0,0,0.79,0,0.79,27
C12137,0,9871,8,25000,54,-69,-22.39,-16.7,-22.39,173.44,5.38,109.72,0.02,17.07,-72.08,-75.73,-76.04,-8.88,9.25,-2.8,52.77,5.5,0.39,1,8.09,0,0,0,0,73.7
C12139,0,100644,1,78400,53,-37,28.46,32.9,28.46,85.78,47.09,38.69,0.02,2.08,12.15,12.15,11.92,-1.9,1.9,-0.48,5.12,0.29,0.14,1.59,2.28,0.95,2.24,0,2.24,28.18
C12150,0,441825,16,78690,305,88,8.67,9.02,8.66,95.04,92.61,2.43,0.02,0.19,4.79,4.79,5.74,-0.19,0.19,1.12,6.63,2.54,2.39,1.64,2.09,0,2.04,0.88,1.16,7.35
C12152,0,782372,40,80000,1310,1095,7.77,7.77,11.38,89.39,74.16,15.23,0.02,0.21,10.41,15.26,9.96,0,0,13.7,16.08,6.84,4.7,2.38,0.38,0.01,0.35,0,0.35,197.94
C12180,0,97220680,826,100000,17299,693,2.02,2.15,2.02,99.68,99.04,1.34,0.02,0.05,0.29,0.29,0.17,-0.02,0.02,6.93,1.94,0.46,0.39,0.56,0.5,0.01,1.27,0,1.27,0.12
C12193,0,105860,8,12000,186,51,7.53,7.64,7.53,89.26,72.96,16.3,0.02,0.16,10.6,10.6,7.21,-0.16,0.16,4.3,16.9,13.34,13.33,1.62,0.31,0.16,1.19,0,1.19,50.19
C12211,0,259893,13,20000,185,127,4.11,4.15,4,97.65,86.37,11.28,0.02,0.02,2.34,2.28,1.48,-0.02,0.02,6.39,6.84,3.57,3.54,1.02,1.62,0,0.69,0,0.69,15.25
C12217,0,140767,9,3000,102,12,8.64,11.73,8.87,93.16,68.77,24.39,0.02,1.83,5.03,5.16,3.74,-1.78,1.8,4.25,6.99,0.53,0.01,1.31,0.58,0,0.96,0,0.96,138.44
C12225,0,82660,3,10000,35,4,14.48,16.49,14.48,93.36,62.55,30.81,0.02,1.61,5.04,5.04,4.97,-0.69,0.7,0.42,4.18,0.88,0.1,1.09,0.68,0,0.21,0,0.21,37.62
C12241,0,21691,2,3000,15,10,-6.22,-5.95,-5.89,103.34,68.96,34.38,0.02,0.15,-3.46,-3.28,-3.28,-0.13,0.15,3.35,6.68,0.47,0,1.02,0.25,0,0.14,0,0.14,140.18
C12248,0,90964,1,3000,74,12,19.73,19.76,19.73,87.02,57.82,29.21,0.01,0.02,12.96,12.96,8.56,-0.02,0.02,4.16,7.89,1.83,0.02,2.22,0.08,0,3.66,0,3.66,72.22
C12250,0,1352,0,1000,8,-4,-52.13,-50.53,-55.12,174.2,5.64,109.72,0.01,0,-72.08,-75.73,-76.04,0,0,-4.52,11.44,3.33,1.38,0,1.37,0,0,0,0,128.67
C12259,0,510760,30,20000,609,139,0.05,2.87,0.13,97.28,80.58,16.7,0.01,2.69,0.05,0.13,0.1,-2.68,2.69,6.97,11.45,7.47,7.37,1.51,1.26,0.43,0.56,0,0.56,28.26
C12261,0,48109,0,179800,59,-135,-19.04,,-19.04,115.41,40.67,74.73,0.01,3.32,-18.72,-18.72,-19.2,,0,-0.75,11.8,1.29,0.17,0,0,0,0,0,0,23.61
C12265,0,47457,0,10000,32,4,37.78,39.59,41.96,76.1,63.19,5.8,0.01,0.75,27.35,30.28,25.7,-0.75,0.75,0.48,6.67,0.03,0,5.67,0,0,0,0,0,3.4
C12274,0,156785,11,25000,154,1,-1.28,-0.2,-1.28,100.17,86.15,14.01,0.01,0.86,-1.01,-1.01,-1.01,-0.85,0.86,0.06,9.43,0.22,0.19,1.72,6.7,1.3,1.43,0.04,1.39,5.37
C12276,0,190180,7,17000,122,2,0.69,2.72,0.69,98.61,91.86,6.76,0.01,1.05,0.36,0.36,0.28,-1.04,1.05,0.16,6.19,1.72,1.15,1.15,2.16,0.31,0.76,0,0.76,14.96
C12277,0,71553,3,3000,79,68,12.39,12.39,12.4,89.05,67.68,21.37,0.01,0,10.96,10.97,7.81,0.01,0,22.96,10.62,0.42,0.3,1.32,0.93,0.58,0.13,0,0.13,192.33
C12278,0,176244,3,10000,128,93,1.3,1.84,1.46,98.94,77.15,21.79,0.01,0.31,0.76,0.85,0.63,-0.31,0.31,9.34,6.99,2.88,2.78,0.91,1.47,0,1.52,0,1.52,46
C12282,0,145340,7,29600,24,-78,-11.92,-5.11,-11.92,100.67,99.69,1.34,0.01,0.95,-1.61,-1.61,-1.71,-0.92,0.92,-2.64,1.94,0.12,0.08,0.83,0.6,0,0.79,0.09,0.7,1.08
C12286,1,133408,5,50000,522,168,1.69,2.72,1.69,91.46,72.17,19.29,0.01,3.26,5.3,5.3,5.19,-3.22,3.23,3.38,37.58,5.96,4.93,8.76,5.74,3.15,1.4,0,1.4,37.49
C12289,0,20409,0,1000,9,0,25.04,25.91,25.04,89.92,45.31,44.6,0.01,0.34,9.75,9.75,9.48,-0.33,0.34,0.43,4.67,0.55,0.19,0.7,0,0,1.82,0,1.82,102.8
C12290,0,63774,22,15000,45,-22,0.99,3.61,1.58,97.96,88.22,9.74,0.01,1.49,0.56,0.9,0.63,-1.48,1.49,-1.47,6.82,4.17,3.48,1.34,0.16,0,0.01,0,0.01,34.64
C12291,0,40936,1,3000,35,33,8.9,8.9,10.59,93.81,79.71,14.1,0.01,0,6.2,7.37,5.74,0.01,0,11.17,8.35,0.38,0.37,0.12,0.23,0.23,0.11,0,0.11,231.85
C12310,0,47208,2,5000,41,1,9.45,12.44,0.86,91.3,52.3,39,0.01,2.09,6.62,0.6,0.48,-2.09,2.09,0.35,8.4,6.24,6.22,1.03,0.11,0.08,1.07,0,1.07,16.93
C12321,0,120442,8,20000,284,2,6.32,9.43,3.59,82.17,45.84,36.33,0.01,5.87,11.97,6.8,0.29,-5.86,5.87,0.13,22.7,8.41,8.37,4.33,4.12,0.25,0.34,0,0.34,108.11
C12329,0,372,2,2000,8,-2,-52.13,-50.53,-55.12,174.2,5.38,109.72,0.01,0,-72.08,-75.73,-76.04,0.01,0,-1.15,43.8,18.17,0,0,0,0,0,0,0,475.54
C12334,0,70495,8,10000,66,-134,4.72,9.8,4.72,92.67,71.27,21.39,0.01,3.81,3.54,3.54,3.3,-3.8,3.81,-13.43,8.99,4.95,4.77,3.04,0.61,0,2.59,2.15,0.44,1.29
C12345,0,152176,8,25000,135,26,21.47,22.4,11.85,83.6,67.11,16.49,0.01,1.07,15.34,8.47,8.03,-0.66,0.66,1.06,8.57,1.82,1,2.03,0.63,0,2.49,2.3,0.19,42.76
C12349,0,52306,2,2000,19,14,24.34,24.79,24.34,92.79,61.91,30.88,0.01,0.13,7.09,7.09,5.73,-0.13,0.13,7.49,3.5,0.21,0,0.89,0,0,0.24,0,0.24,70.47
C12353,0,69445,20,6000,42,-12,32.23,32.48,32.23,84.11,68.57,15.54,0.01,0.12,15.78,15.78,15.7,-0.12,0.12,-2.08,5.88,0.03,0,0,0,0,0,0,0,57.14
C12363,0,394736,20,10000,407,144,6.64,7.19,6.56,94.08,53.57,40.51,0.01,0.45,5.48,5.41,4,-0.45,0.45,14.43,9.91,0.64,0.3,2.2,2.22,2.22,2.44,1.09,1.34,94.48
C12381,0,24302,8,10000,21,-8,-16.77,-12.5,-16.77,108.76,51.78,56.98,0.01,2.99,-11.73,-11.73,-11.97,-2.98,2.99,-0.81,8.4,0.95,0.92,0.95,5.77,5.77,1.43,0,1.43,4.81
C12401,0,248064,35,10000,183,8,0.32,1.74,0.32,98.97,41.25,57.72,0,0.84,0.19,0.19,0.17,-0.84,0.84,0.85,7.1,0.38,0.04,3.02,0.26,0,1.04,0,1.04,77.57
C12402,0,51730,3,10000,52,17,3.91,3.91,3.91,95.98,35.38,60.6,0,0.84,3.18,3.18,2.56,0,0,1.8,9.76,0.85,0,2.41,0.56,0.56,0.26,0,0.26,169.34
C12405,1,82130,3,10000,43,-1,2.52,3.56,2.52,98.48,55.44,43.04,0,0.44,1.08,1.08,1.01,-0.44,0.44,-0.12,5.13,0.1,0,2.46,1.61,1.61,2.48,0,2.48,27.54
C12410,0,5814799,248,230000,3671,1027,0.37,0.42,0.35,99.59,92.21,7.38,0,0.22,0.19,0.18,0.07,-0.02,0.02,4.47,6.06,0.46,0.39,2.26,2.12,0,2,0,2,0.84
C12412,0,37491,2,10000,34,17,10.27,10.67,10.27,92.23,51.76,40.47,0,0.29,7.49,7.49,7.34,-0.29,0.29,1.76,8.75,0.16,0.07,2.84,0,0,2.38,1.94,0.44,148.66
C12420,0,160516,7,10000,106,10,2.96,4.33,2.72,97.64,69.76,27.88,0,0.79,1.57,1.45,1.23,-0.72,0.73,1.02,6.38,1.61,0.52,1.31,1.53,0.49,0.5,0,0.5,52.29
C12434,1,108260,4,10000,56,-20,0.87,3.12,0.87,98.7,89.68,9.02,0,0.94,0.36,0.36,0.31,-0.94,0.94,-2.07,5.01,0.68,0,2.25,1.63,0,1.17,0,1.17,6.91
C12442,0,34853,1,10000,151,-36,-1.69,-0.17,-1.69,100.37,62.59,37.78,0,5.54,-5.9,-5.9,-5.9,-5.32,5.32,-3.7,41.85,15.44,15.35,0.71,14.84,1.08,0.31,0,0.31,29.37
C12463,0,210174,8,10000,80,-152,-16.87,-13.57,1.75,104.13,87.25,16.88,0,1.01,-5.14,0.53,0.48,-1.01,1.01,-15.23,3.65,0.17,0.07,1.53,1.74,0.46,2.93,1.22,1.71,1.62
C12464,0,137001,9,80000,141,68,6.44,7.55,6.44,93.75,75.8,17.96,0,0.92,5.33,5.33,5.1,-0.92,0.92,0.85,9.93,2.94,0.11,1.8,0.55,0,0.31,0,0.31,73.57
C12472,0,18874,0,5000,16,2,26.95,26.95,17.87,81.14,57.34,23.8,0,0,18.86,12.5,12.5,0,0,0.56,8.4,1.72,1.71,1.63,0.27,0.27,0.92,0,0.92,80.69
C12483,0,106800,5,4000,83,45,37.78,39.59,41.96,76.1,5.38,45.05,0,0.64,27.35,33.01,25.7,0,0,11.47,7.54,0.55,0.47,5.54,0,0,0,0,0,45.03
C12508,0,24938,1,1000,8,1,14.69,14.69,14.69,96.3,69.54,26.76,0,0,3.7,3.7,2.76,0,0,1.16,3.03,0.15,0.05,1.25,0,0,0.59,0,0.59,49.55
C12522,0,5892,0,8000,8,-30,8.74,10.5,8.74,88.61,30.85,57.76,0,1.9,9.46,9.46,8.36,-1.9,1.9,-3.81,12.99,11.54,10.93,0.73,0.19,0,0.16,0,0.16,15.91
C12524,0,368159,12,17000,270,217,10.6,10.6,10.73,93.78,81.26,12.52,0,0,6.22,6.3,3.66,0,0,12.8,7.04,0.76,0.14,1.13,1.19,0.19,0.76,0,0.76,117.53
C12529,0,985756,63,11000,1366,156,0.37,1.61,0.37,97.45,83.59,13.86,0,1.64,0.41,0.41,0.36,-1.37,1.38,14.19,13.31,5.99,5.51,1.52,2.03,1.38,1.55,0,1.55,95.19
C12539,1,112501,7,51000,117,-360,0.18,8.43,0.18,92.96,75.5,17.46,0,6.89,0.15,0.15,0.15,-6.89,6.89,-7.08,10.02,0.53,0,1.35,8.7,0.14,2.93,0,2.93,5.92
C12540,0,537658,14,40000,164,36,37.78,39.59,41.96,87.66,69.2,18.46,0,0.29,12.04,12.04,8.94,-0.19,0.19,0.92,2.94,0.06,0.01,0.5,0.94,0.92,0.27,0,0.27,30.79
C12541,0,85451,2,10000,30,13,11.07,11.07,11.07,96.88,56.62,40.27,0,0,3.12,3.12,2.35,0,0,1.31,3.38,0.9,0,1.47,0.64,0.1,0.97,0,0.97,10.15
C12542,0,135994,8,3000,205,-19,1.82,3.78,1.82,95.43,82.24,13.19,0,2.38,2.19,2.19,2.11,-2.37,2.37,-6.44,14.49,5.92,5.29,2.39,5.96,5.96,3.35,1.85,1.5,4.86
C12549,0,0,0,100,9,-9,-52.13,-50.53,-55.12,,,,,,,,,,,-28.45,,,,,,,,,,
C00057,0,312800,100,9214000,25093,6314,4.81,5.12,4.8,174.2,113.27,109.72,33.52,17.07,27.35,33.01,25.7,4.1,9.25,0.58,74.75,49.02,39.42,8.76,14.84,1.5,0.4,0,0.4,361.27
C00066,0,22185551,1018,6048281,38319,18351,26.53,26.53,26.53,90.72,81.96,8.76,31.99,4.61,27.35,33.01,24.36,0.05,0,3.03,16.58,5.43,4.05,5.25,3.88,0,3.17,1.34,1.84,0.12
C00085,0,6241,2,15000,8,-16,-52.13,-50.53,-55.12,174.2,16.65,109.72,26.23,4.06,-72.08,-75.73,-76.04,-4.06,4.06,-1.13,7.54,0.03,0,6.48,0,0,0.79,0,0.79,32.13
C00106,0,220408,26,45000,1365,-58,-2.05,0.15,-2.05,111.62,92.52,19.1,23.28,17.07,-10.18,-10.15,-10.22,-8.88,9.25,-1.3,59.49,36.01,28.98,5.28,13.66,1.31,1.79,1.32,0.47,98.19
C00108,0,184266,30,20000,453,406,-6.07,-6.02,-5.88,133.35,36.07,97.28,22.98,1.58,-11.95,-11.57,-11.91,2.36,0.1,20.32,23.62,3.02,0.45,0.75,11.18,2.9,0.25,0,0.25,205.59
C00124,0,1084518,62,81000,1162,70,-0.28,2.02,1.54,104.62,95.76,8.86,21.45,17.07,-0.24,1.32,1.29,-1.72,1.97,0.87,10.29,4.99,3.36,1.11,1.39,0.93,1.36,0.56,0.81,23.29
C00204,0,13604826,273,310000,17793,10725,21.43,21.45,21.41,92.77,76.76,16.01,15.57,0.37,22.42,22.4,14.43,2.08,0.02,34.6,12.56,2.05,1.78,2.67,0.2,0.09,3.59,2.23,1.36,55.69
C00209,0,201731,6,10000,1263,805,2.64,3,3.04,100.17,69.97,30.21,15.29,1.9,13.22,15.25,9.31,4.1,1.8,80.53,60.11,41.89,13.27,2.35,0.12,0,1.53,0.89,0.64,406.8
C00235,0,1698024,76,85000,3460,83,-0.39,2.13,-0.43,106.82,90.37,16.45,14.45,8.28,-0.64,-0.7,-2.24,4.1,4.11,0.98,19.56,12.7,8.48,1.68,1.57,0.46,2.21,1.18,1.03,26.18
C00320,0,93209,9,10000,100,31,26.69,27.85,26.52,87.65,65,22.65,11.74,1.01,23.08,22.94,22.88,-0.74,1.01,3.17,10.38,4.47,1.49,1.03,0.49,0.04,0.05,0,0.05,124.73
C00326,0,359463,8,10000,362,70,1.42,1.82,1.56,110.08,100.99,9.09,11.55,0.33,1.15,1.26,0.91,-0.33,0.33,7.01,9.67,5.78,5.02,1.13,0.53,0.53,0.85,0,0.85,7.45
C00343,0,50353300,668,305000,66464,37625,14.36,14.36,14.35,90.49,79.62,10.88,11.27,0.06,20.72,20.71,12.48,0.49,0,228.95,17.32,6.6,3.25,0.37,1.11,0,1.22,0,1.22,175.1
C00348,0,843232,48,50000,1254,608,3.13,3.56,4.09,104.6,88.72,15.88,11.23,2.89,3.73,4.87,4.08,-0.5,0.5,12.17,14.28,6.13,4.13,3.22,1.19,0.63,2.89,0.18,2.71,39.03
C00389,0,45760000,975,5657000,66464,37625,10.41,10.41,10.18,93.58,85.36,8.22,10.23,0.26,16.4,16.02,11.18,4.1,0,10.84,18.89,11.98,1.33,2.75,0.39,0.23,1.42,0,1.42,86.06
C00413,0,36001,2,20000,40,-32,1.43,1.48,1.58,108.39,69.93,38.45,9.71,0.05,1.27,1.42,1.02,0.55,0.05,-1.63,10.73,0.25,0.18,2.41,2.12,0,1.42,0,1.42,83.19
C00423,0,3732407,266,70000,10309,5249,5.47,5.91,2.71,92.53,73.51,19.02,9.51,4.9,12.08,5.99,3.2,-0.67,0.97,74.99,26.52,13.35,11.56,6.01,0.23,0,0.63,0,0.63,151.52
C00439,0,1054792,50,10000,1233,225,10.97,12.51,-2.48,97.64,82.07,15.57,9.35,1.44,10.27,-2.32,-2.34,4.1,1.44,22.6,11.23,3.12,2.64,2.17,1.27,0.74,0.9,0.29,0.61,106.94
C00462,0,3871879,187,20000,8553,2037,7.8,8.49,6.4,93.77,82.91,10.86,9.04,1.48,13.79,11.31,6.77,-1.04,1.22,101.9,21.21,13.18,5.26,4.14,1.13,0.63,2.54,2.08,0.46,79.24
C00511,0,2862414,161,90000,6044,2750,9.02,9.39,9.1,92.59,83.82,8.77,8.46,0.62,15.24,15.37,9.5,-0.03,0.61,30.56,20.27,8.91,8.15,4.72,0.26,0,1.25,0.61,0.64,34.6
C00535,0,1009247,41,10000,1976,324,-1.74,-0.86,-1.57,109.31,98.53,10.78,8.25,1.67,-2.73,-2.45,-2.52,-0.69,1.38,32.41,18.8,9.26,3.54,0.06,3.37,0,2.53,1.78,0.76,72.72
C00571,0,503583,35,15000,1018,207,1.49,2.69,1.49,98.36,88.41,9.95,7.84,7.08,2.4,2.4,2.35,-1.9,1.96,13.81,19.41,9.96,8.56,1.3,1.62,0.58,2.01,1.35,0.66,81.35
C00590,0,87020442,2400,4000000,66464,13779,8.64,9.32,15.02,98.09,79.02,19.07,7.67,2.87,6.71,11.66,6.2,0.13,0.52,3.21,9.31,3.14,0.68,1.45,0.16,0.03,0.42,0.3,0.12,112.86
C00595,0,86128,32,5000,52,39,-10.31,-10.05,-10.02,112.45,94.18,18.27,7.6,0.13,-4.98,-4.84,-4.92,-0.12,0.13,7.99,5.8,2.67,2.14,1.15,0.1,0.01,0,0,0,41.62
C00627,0,628132,55,10000,872,300,0.31,0.86,0.08,106.36,96.51,9.85,7.31,0.62,0.34,0.09,0.07,-0.61,0.62,30.04,13.33,7.32,5.82,1.02,0.51,0.51,2.19,1.1,1.09,109.72
